LogLRc	Log_L	LogRc	LcorrM	LogRF	Flag	Type
39.8	40.97169522	3.46	0.06	-37.51169522	0	FRI
40.6	40.93491146	4.36	0.56	-36.57491146	0	FRI
40.3	40.9033471	-0.22	-3.54	-41.1233471	0	PGQs
39.7	40.87169522	4.32	0.8	-36.55169522	0	FRI
41.4	40.81317468	1.39	-1.57	-39.42317468	0	RLQ
38.2	40.79890773	3.32	0.12	-37.47890773	0	FRI
39.5	40.77766933	4.11	0.95	-36.66766933	2	FRI
41.3	40.71317468	1.16	-2.12	-39.55317468	0	PGQs
40	40.6033471	3.97	0.33	-36.6333471	0	FRI
39.5	40.56405549	3.7	0.26	-36.86405549	0	FRI
39.3	40.47169522	4.99	1.55	-35.48169522	0	FRI
39.1	40.27169522	3.27	0.07	-37.00169522	0	FRI
40.2	40.19793756	4.38	0.82	-35.81793756	0	FRI
39.5	40.1033471	-1.06	-4.34	-41.1633471	1	PGQs
38.9	40.07169522	-1.21	-4.25	-41.28169522	1	PGQs
40.3	40.06707657	0.2	-3	-39.86707657	0	PGQs
38.4	39.98895167	3.29	-0.19	-36.69895167	2	FRI
39.2	39.8033471	-0.56	-3.96	-40.3633471	0	PGQs
39.7	39.69793756	-0.9	-4.54	-40.59793756	1	PGQs
37.8	39.69449785	3.68	0.24	-36.01449785	2	FRI
39.2	39.67437242	-0.57	-4.01	-40.24437242	0	PGQs
39.9	39.66707657	-0.3	-3.7	-39.96707657	0	PGQs
38.7	39.54156483	3.85	0.57	-35.69156483	0	FRI
38.3	39.47169522	3.67	0.07	-35.80169522	0	FRI
38.8	39.4033471	1.74	-1.14	-37.6633471	0	SG-LINERS
39.9	39.31317468	2.38	-0.9	-36.93317468	0	BLRG
39.1	39.27951917	-0.61	-3.89	-39.88951917	0	PGQs
39.5	39.26707657	-0.47	-3.71	-39.73707657	0	PGQs
38.6	39.2033471	0.94	-1.78	-38.2633471	0	SG-LINERS
37.6	39.18895167	3.25	-0.35	-35.93895167	2	FRI
39	39.17951917	-0.92	-3.84	-40.09951917	1	PGQs
38.4	39.12505963	1.38	-1.54	-37.74505963	0	SG-LINERS
38.5	39.1033471	-0.97	-4.09	-40.0733471	0	SG-LINERS
39.1	39.09793756	-0.87	-4.23	-39.96793756	0	PGQs
38.6	39.07437242	-1.02	-4.34	-40.09437242	0	SG-LINERS
39.3	39.06707657	-0.83	-4.07	-39.89707657	0	PGQs
38	38.95424251	0.21	-3.03	-38.74424251	0	SG-LINERS
38.7	38.87951917	-0.75	-3.67	-39.62951917	0	PGQs
37.8	38.75424251	-0.62	-3.7	-39.37424251	0	SG-LINERS
38.4	38.73491146	0.17	-2.51	-38.56491146	0	SG-LINERS
38.4	38.73491146	-0.41	-3.45	-39.14491146	0	SG-LINERS
38.7	38.69793756	1.69	-1.55	-37.00793756	0	SG-LINERS
38.7	38.69793756	-0.8	-3.88	-39.49793756	0	PGQs
37.5	38.67169522	-0.27	-3.35	-38.94169522	1	SG-LINERS
38.9	38.66707657	-0.67	-3.59	-39.33707657	0	PGQs
37.9	38.62505963	0.48	-2.76	-38.14505963	0	SG-LINERS
39.2	38.61317468	-0.45	-3.61	-39.06317468	1	PGQs
38.8	38.56707657	2.59	-0.61	-35.97707657	0	SG-LINERS
38.8	38.56707657	0.67	-2.01	-37.89707657	0	SG-LINERS
38.8	38.56707657	0.11	-2.69	-38.45707657	0	PGQs
39.1	38.51317468	-1.12	-4.4	-39.63317468	1	PGQs
38.5	38.49793756	0.45	-2.59	-38.04793756	0	SG-LINERS
36.8	38.49124707	-1.38	-4.26	-39.87124707	0	SG-LINERS
38.6	38.36707657	-0.96	-4.08	-39.32707657	1	PGQs
37.3	38.36405549	0.33	-2.71	-38.03405549	1	SG-LINERS
38.9	38.31317468	-0.63	-3.79	-38.94317468	0	PGQs
37.9	38.23491146	-1.37	-4.25	-39.60491146	1	PGQs
38.8	38.21317468	-0.97	-3.97	-39.18317468	1	PGQs
38.7	38.11317468	-0.94	-4.3	-39.05317468	1	PGQs
38.7	38.11317468	-0.98	-4.02	-39.09317468	0	PGQs
38.1	38.09793756	-0.01	-2.81	-38.10793756	0	SG-LINERS
38.1	38.09793756	-0.55	-3.07	-38.64793756	1	PGQs
38.3	38.06707657	-1.13	-4.57	-39.19707657	1	PGQs
35.7	37.9978179	2.07	-0.97	-35.9278179	0	SG-LINERS
36.3	37.99124707	-0.56	-3.6	-38.55124707	0	SG-LINERS
36.8	37.97169522	0.52	-2.48	-37.45169522	0	SG-LINERS
36.9	37.96405549	1.26	-1.46	-36.70405549	0	SG-LINERS
37.2	37.92505963	-0.16	-3.12	-38.08505963	0	SG-LINERS
37	37.84156483	-0.46	-3.46	-38.30156483	0	SG-LINERS
37.5	37.83491146	1.96	-1.2	-35.87491146	0	SG-LINERS
38.3	37.71317468	1.11	-1.53	-36.60317468	0	SG-LINERS
36.5	37.67169522	1.31	-1.13	-36.36169522	0	SG-LINERS
38.2	37.61317468	-0.22	-3.18	-37.83317468	0	PGQs
36.2	37.58235685	1.64	-1.44	-35.94235685	0	SG-LINERS
38.1	37.51317468	-1.64	-4.6	-39.15317468	1	PGQs
36.5	37.34156483	0.08	-2.36	-37.26156483	0	SG-LINERS
35.6	37.08604457	0.7	-1.94	-36.38604457	0	SG-LINERS
37.2	36.96707657	-0.4	-3.16	-37.36707657	0	SG-LINERS
36.9	36.66707657	1.73	-1.39	-34.93707657	0	SG-LINERS
36.4	36.57951917	0.57	-2.03	-36.00951917	0	SG-LINERS
